logogram_id,total_occurrences,Geometric,LBI,LM IA,LM IB,LMI,LMIIIA,MM II,MM III,MMIA,MMIIIA,MMIIIB,Uncertain
A 399,1,0,0,0,1,0,0,0,0,0,0,0,0
A 400,14,0,0,0,7,0,0,0,0,0,0,0,7
A 401,1,0,0,0,1,0,0,0,0,0,0,0,0
A 402,1,0,0,0,1,0,0,0,0,0,0,0,0
A 500,9,0,0,0,8,0,0,0,0,0,0,0,1
A 501,1,0,0,0,1,0,0,0,0,0,0,0,0
A 502,1,0,0,0,1,0,0,0,0,0,0,0,0
A 503,3,0,0,0,3,0,0,0,0,0,0,0,0
A 504,2,0,0,0,1,0,0,0,0,0,0,0,1
A 505,1,0,0,0,0,0,0,0,0,0,0,0,1
A 506,1,0,0,0,1,0,0,0,0,0,0,0,0
A 507,1,0,0,0,1,0,0,0,0,0,0,0,0
A 508,2,0,0,0,2,0,0,0,0,0,0,0,0
A 509,1,0,0,0,1,0,0,0,0,0,0,0,0
A 510,1,0,0,0,1,0,0,0,0,0,0,0,0
A 560,5,0,0,0,5,0,0,0,0,0,0,0,0
A 561,3,0,0,0,3,0,0,0,0,0,0,0,0
A 562,2,0,0,0,0,0,0,1,0,0,0,0,1
A 566,3,0,0,0,2,0,0,0,0,0,0,0,1
A 568,25,0,0,0,20,0,0,0,0,0,0,0,5
VASE 1,10,0,0,0,9,0,0,0,0,0,0,0,1
VASE 10,26,0,0,0,21,0,0,0,0,0,0,0,5
VASE 11,1,0,0,0,0,0,0,0,0,0,0,0,1
VASE 12,4,0,0,0,4,0,0,0,0,0,0,0,0
VASE 13,2,0,0,0,1,0,0,0,0,0,0,0,1
VASE 2,28,0,0,0,22,0,0,0,1,0,0,0,5
VASE 3,21,0,0,0,17,0,0,0,1,0,0,0,3
VASE 4,57,0,0,0,42,0,1,2,0,0,0,0,12
VASE 5,16,0,0,0,11,0,0,0,0,0,0,0,5
VASE 6,12,0,0,0,11,0,0,0,0,0,0,0,1
VASE 7,89,0,0,0,71,0,0,1,0,0,0,0,17
VASE 8,26,0,0,0,21,0,0,1,0,0,0,0,4
VASE 9,6,0,0,0,0,0,0,1,0,0,0,0,5
