sign_id,degree_centrality,betweenness_centrality,pagerank,clustering_coefficient
A 354,0.011628,0.000000,0.000636,1.000000
A 355,0.011628,0.000000,0.000455,1.000000
A 356,0.002907,0.000000,0.000695,0.000000
A 357,0.005814,0.000000,0.000695,1.000000
A 358,0.014535,0.000000,0.000695,1.000000
A 359,0.002907,0.000000,0.000695,0.000000
A 360,0.002907,0.000000,0.000695,0.000000
A 361,0.101744,0.000000,0.000604,1.000000
A 362,0.090116,0.000000,0.000597,1.000000
A 363,0.142442,0.000010,0.000933,0.984694
A 370,0.072674,0.000000,0.000741,1.000000
A 500,0.171512,0.000212,0.002241,0.890123
A 501,0.066860,0.000000,0.000741,1.000000
A 502,0.002907,0.000000,0.000695,0.000000
A 503,0.151163,0.000052,0.000842,0.944947
A 504,0.002907,0.000000,0.000455,0.000000
A 505,0.008721,0.000000,0.000741,1.000000
A 506,0.023256,0.000000,0.000638,1.000000
A 507,0.005814,0.000000,0.000695,1.000000
A 509,0.055233,0.000000,0.000742,1.000000
A 510,0.037791,0.000000,0.000710,1.000000
A 560,0.087209,0.000141,0.001806,0.829885
A 561,0.156977,0.000151,0.001294,0.901468
A 562,0.017442,0.000508,0.001250,0.600000
A 566,0.125000,0.000804,0.002583,0.798450
A 568,0.363372,0.007847,0.005346,0.665677
A 702,0.162791,0.000126,0.001589,0.906494
A 703,0.081395,0.000061,0.001379,0.944444
A 704,0.130814,0.000011,0.000753,0.978788
A 705,0.014535,0.000000,0.000650,1.000000
A 706,0.058140,0.000004,0.001039,0.957895
A 707,0.061047,0.000000,0.000741,1.000000
A 708,0.130814,0.000011,0.000831,0.978788
A 709,0.023256,0.000000,0.000695,1.000000
A 710,0.052326,0.000000,0.000738,1.000000
A 711,0.142442,0.000089,0.001209,0.920068
A 712,0.023256,0.000000,0.000841,1.000000
A 713,0.037791,0.000000,0.000768,1.000000
A 714,0.052326,0.000000,0.000623,1.000000
A 715,0.052326,0.000000,0.000623,1.000000
A 716,0.087209,0.000110,0.001103,0.903448
A 718,0.055233,0.000000,0.000794,1.000000
A 719,0.075581,0.000000,0.000768,1.000000
A 720,0.031977,0.000000,0.000710,1.000000
A 721,0.031977,0.000000,0.000710,1.000000
A 722,0.058140,0.000338,0.001170,0.800000
A 723,0.031977,0.000000,0.000672,1.000000
A 724,0.066860,0.000028,0.000878,0.948617
A 726,0.220930,0.000335,0.003297,0.875439
A 727,0.055233,0.000000,0.000695,1.000000
A 728,0.302326,0.001912,0.003867,0.735063
A 729,0.101744,0.000000,0.000958,1.000000
A 730,0.194767,0.000340,0.001613,0.846676
AB 01,0.520349,0.020404,0.009689,0.475927
AB 02,0.537791,0.021826,0.004416,0.445652
AB 03,0.555233,0.024826,0.007514,0.435382
AB 04,0.494186,0.023662,0.008544,0.486878
AB 05,0.313953,0.002176,0.003491,0.736760
AB 06,0.511628,0.017348,0.007912,0.482208
AB 07,0.465116,0.009367,0.010335,0.555267
AB 08,0.534884,0.021866,0.009764,0.451235
AB 09,0.392442,0.004658,0.005819,0.634826
AB 10,0.401163,0.004590,0.005461,0.646779
AB 11,0.229651,0.001111,0.001952,0.796170
AB 118,0.319767,0.006250,0.004147,0.696080
AB 120,0.450581,0.012272,0.006211,0.529535
AB 122,0.354651,0.004747,0.003905,0.683512
AB 123,0.206395,0.000905,0.001477,0.806841
AB 13,0.357558,0.002893,0.004562,0.689458
AB 131A,0.453488,0.014952,0.008232,0.527626
AB 131B,0.156977,0.000068,0.001200,0.943396
AB 16,0.412791,0.005529,0.004407,0.602138
AB 164,0.049419,0.000000,0.000613,1.000000
AB 17,0.369186,0.003440,0.005063,0.689789
AB 171,0.087209,0.000060,0.000802,0.947126
AB 180,0.081395,0.004265,0.002313,0.576720
AB 188,0.223837,0.002733,0.002480,0.761107
AB 20,0.040698,0.000005,0.001033,0.945055
AB 21,0.023256,0.000000,0.000455,1.000000
AB 21f,0.316860,0.002254,0.002761,0.737513
AB 21m,0.159884,0.000294,0.002074,0.863973
AB 22,0.061047,0.000144,0.001149,0.828571
AB 22f,0.209302,0.000503,0.001843,0.838028
AB 22m,0.078488,0.000004,0.001381,0.982906
AB 23,0.244186,0.001398,0.002556,0.828457
AB 23m,0.090116,0.000093,0.001187,0.929032
AB 24,0.418605,0.006451,0.005895,0.588092
AB 26,0.479651,0.013658,0.008035,0.520251
AB 27,0.470930,0.011988,0.008675,0.538072
AB 28,0.534884,0.023405,0.009022,0.451354
AB 29,0.226744,0.000571,0.001993,0.865135
AB 30,0.534884,0.019244,0.011605,0.460739
AB 31,0.555233,0.022915,0.011050,0.446845
AB 34,0.238372,0.000932,0.001478,0.785005
AB 37,0.491279,0.016376,0.010892,0.501479
AB 38,0.386628,0.019593,0.005119,0.641148
AB 39,0.421512,0.012813,0.006228,0.579502
AB 40,0.293605,0.005366,0.002987,0.726139
AB 41,0.540698,0.028356,0.008774,0.448707
AB 44,0.238372,0.000783,0.002744,0.884974
AB 45,0.337209,0.002757,0.004840,0.710345
AB 46,0.232558,0.000555,0.001750,0.832595
AB 47,0.197674,0.000551,0.001806,0.909131
AB 48,0.031977,0.000000,0.000611,1.000000
AB 49,0.177326,0.000155,0.000838,0.912568
AB 50,0.363372,0.003843,0.004582,0.660903
AB 51,0.470930,0.018600,0.006033,0.511004
AB 53,0.433140,0.006518,0.008764,0.590604
AB 54,0.383721,0.006660,0.004363,0.625723
AB 55,0.375000,0.004180,0.005862,0.655766
AB 56,0.418605,0.006364,0.005640,0.589549
AB 57,0.462209,0.012638,0.008599,0.531964
AB 58,0.424419,0.009746,0.006823,0.585357
AB 59,0.563953,0.027621,0.010025,0.425832
AB 60,0.491279,0.016482,0.007794,0.501409
AB 61,0.226744,0.000521,0.003146,0.843823
AB 65,0.398256,0.006113,0.005930,0.602941
AB 66,0.281977,0.001760,0.003627,0.763531
AB 67,0.552326,0.015654,0.010647,0.460317
AB 69,0.436047,0.007903,0.006656,0.581298
AB 70,0.354651,0.003209,0.003285,0.669557
AB 73,0.415698,0.008399,0.009164,0.591451
AB 74,0.043605,0.000000,0.000692,1.000000
AB 76,0.433140,0.006884,0.003819,0.574823
AB 77,0.534884,0.033449,0.010319,0.456700
AB 78,0.386628,0.014145,0.006468,0.634427
AB 79,0.360465,0.002776,0.003637,0.692893
AB 80,0.500000,0.016106,0.008213,0.484700
AB 81,0.572674,0.024048,0.010323,0.429089
AB 82,0.087209,0.000000,0.000636,1.000000
AB 85,0.209302,0.001448,0.001798,0.780908
AB 86,0.226744,0.000350,0.002372,0.852814
AB 87,0.023256,0.000000,0.000959,1.000000
MET A,0.281977,0.000911,0.003473,0.791237
MET B,0.101744,0.000000,0.000741,1.000000
MET C,0.101744,0.000000,0.000669,1.000000
MET D,0.203488,0.000479,0.001213,0.833126
MET E,0.290698,0.001095,0.003657,0.773131
MET F,0.043605,0.000000,0.000692,1.000000
MET G,0.206395,0.000614,0.004030,0.804829
MET H,0.223837,0.000692,0.002630,0.821258
MET I,0.049419,0.000000,0.000738,1.000000
MET J,0.017442,0.000036,0.000695,0.866667
N,0.008721,0.000000,0.000455,1.000000
NUM 10,0.122093,0.000762,0.001159,0.806039
VASE 10,0.354651,0.006980,0.005027,0.588809
VASE 11,0.011628,0.000000,0.001219,1.000000
VASE 12,0.093023,0.000117,0.001416,0.842742
VASE 13,0.095930,0.000001,0.000878,0.996212
b,0.026163,0.000000,0.000943,1.000000
e,0.008721,0.000000,0.001449,1.000000
n,0.008721,0.000000,0.001170,1.000000
o,0.008721,0.000000,0.000841,1.000000
|,0.002907,0.000000,0.000638,0.000000
ၶ,0.026163,0.000000,0.000574,1.000000
—,0.386628,0.019892,0.005166,0.579631
≈,0.043605,0.000104,0.001612,0.809524
𐄁,0.706395,0.069878,0.022729,0.315886
𐄂,0.026163,0.000000,0.000455,1.000000
𐄇,0.686047,0.073085,0.031296,0.319005
𐄈,0.671512,0.070664,0.025788,0.335103
𐄉,0.625000,0.052247,0.016184,0.366529
𐄊,0.578488,0.028053,0.015657,0.415461
𐄋,0.622093,0.038823,0.013817,0.377123
𐄌,0.465116,0.011700,0.009643,0.545597
𐄍,0.494186,0.016357,0.009959,0.489105
𐄎,0.406977,0.004861,0.006309,0.620966
𐄏,0.279070,0.001052,0.003954,0.808991
𐄐,0.630814,0.043706,0.022084,0.371992
𐄑,0.517442,0.028127,0.010510,0.463785
𐄒,0.424419,0.011299,0.005866,0.565706
𐄓,0.412791,0.006443,0.006792,0.602837
𐄔,0.404070,0.008765,0.006590,0.601501
𐄕,0.340116,0.002676,0.003760,0.685971
𐄖,0.302326,0.002770,0.003987,0.684093
𐄗,0.247093,0.001978,0.002243,0.734454
𐄘,0.337209,0.004336,0.002367,0.680060
𐄙,0.409884,0.014173,0.008581,0.542857
𐄚,0.232558,0.004076,0.002866,0.664241
𐄛,0.180233,0.000299,0.000936,0.865151
𐄜,0.162791,0.000668,0.001221,0.788312
𐄝,0.116279,0.000195,0.001286,0.855128
𐄞,0.069767,0.000074,0.001142,0.891304
𐄡,0.090116,0.000108,0.000924,0.905376
𐄢,0.081395,0.000013,0.000796,0.962963
𐄣,0.002907,0.000000,0.000695,0.000000
𐄤,0.087209,0.000000,0.000684,1.000000
𐚢,0.087209,0.000000,0.001326,1.000000
𐚣,0.037791,0.000000,0.000627,1.000000
𐚤,0.014535,0.000000,0.000710,1.000000
𐚥,0.002907,0.000000,0.000455,0.000000
𐚦,0.125000,0.000000,0.000642,1.000000
𐚨,0.002907,0.000000,0.000455,0.000000
𐚩,0.011628,0.000000,0.000455,1.000000
𐚪,0.101744,0.000322,0.000863,0.816807
𐚬,0.011628,0.000000,0.000695,1.000000
𐚯,0.087209,0.000000,0.000846,1.000000
𐚰,0.087209,0.000000,0.000695,1.000000
𐚳,0.002907,0.000000,0.000841,0.000000
𐚴,0.125000,0.000000,0.000623,1.000000
𐚵,0.034884,0.000000,0.000695,1.000000
𐚶,0.034884,0.000000,0.000741,1.000000
𐚷,0.052326,0.000000,0.000623,1.000000
𐚸,0.075581,0.000000,0.000846,1.000000
𐚹,0.226744,0.001353,0.002154,0.745588
𐚺,0.142442,0.000440,0.001832,0.796769
𐚻,0.235465,0.001256,0.002200,0.734259
𐚼,0.066860,0.000000,0.000741,1.000000
𐚽,0.063953,0.000000,0.000852,1.000000
𐚾,0.066860,0.000000,0.000723,1.000000
𐚿,0.125000,0.000000,0.000623,1.000000
𐛀,0.241279,0.001165,0.001204,0.768440
𐛁,0.020349,0.000000,0.000710,1.000000
𐛂,0.101744,0.000000,0.000672,1.000000
𐛃,0.125000,0.000042,0.000950,0.940199
𐛄,0.037791,0.000000,0.000768,1.000000
𐛅,0.101744,0.000000,0.000695,1.000000
𐛆,0.133721,0.000286,0.001048,0.842512
𐛇,0.011628,0.000000,0.000768,1.000000
𐛉,0.148256,0.000753,0.001080,0.931765
𐛊,0.078488,0.000000,0.000849,1.000000
𐛋,0.014535,0.000000,0.000694,1.000000
𐛌,0.063953,0.000000,0.000730,1.000000
𐛍,0.049419,0.000000,0.000695,1.000000
𐛎,0.037791,0.000000,0.000710,1.000000
𐛏,0.037791,0.000000,0.000768,1.000000
𐛐,0.055233,0.000000,0.000839,1.000000
𐛑,0.072674,0.000000,0.000738,1.000000
𐛒,0.014535,0.000000,0.000694,1.000000
𐛓,0.011628,0.000000,0.000710,1.000000
𐛔,0.014535,0.000000,0.000684,1.000000
𐛕,0.084302,0.000000,0.000710,1.000000
𐛖,0.095930,0.000054,0.001024,0.914773
𐛗,0.052326,0.000000,0.000695,1.000000
𐛘,0.014535,0.000000,0.000695,1.000000
𐛙,0.026163,0.000000,0.000849,1.000000
𐛚,0.194767,0.000812,0.001778,0.774310
𐛛,0.133721,0.000114,0.000908,0.912077
𐛜,0.133721,0.000286,0.000979,0.842512
𐛞,0.037791,0.000000,0.000710,1.000000
𐛟,0.081395,0.000000,0.000646,1.000000
𐛠,0.026163,0.000000,0.000695,1.000000
𐛡,0.026163,0.000000,0.000695,1.000000
𐛢,0.139535,0.001370,0.001172,0.800532
𐛣,0.026163,0.000000,0.000741,1.000000
𐛤,0.049419,0.000000,0.000695,1.000000
𐛥,0.058140,0.000000,0.000901,0.994737
𐛧,0.200581,0.000205,0.001320,0.881074
𐛨,0.090116,0.000070,0.001126,0.909677
𐛩,0.122093,0.000040,0.000955,0.945412
𐛪,0.148256,0.000093,0.001369,0.920784
𐛫,0.058140,0.000000,0.000768,1.000000
𐛬,0.017442,0.000000,0.000616,1.000000
𐛭,0.313953,0.002313,0.003342,0.726030
𐛮,0.011628,0.000000,0.000695,1.000000
𐛯,0.087209,0.000000,0.000623,1.000000
𐜎,0.122093,0.000069,0.001510,0.932636
𐜐,0.133721,0.000223,0.001622,0.837681
𐜑,0.040698,0.000000,0.000695,1.000000
𐜒,0.040698,0.000000,0.000695,1.000000
𐜨,0.046512,0.000077,0.000695,0.850000
𐜩,0.107558,0.000417,0.001560,0.717718
𐜪,0.063953,0.000173,0.001208,0.735931
𐜫,0.098837,0.000487,0.001531,0.702317
𐜬,0.037791,0.000000,0.000738,1.000000
𐜭,0.037791,0.000000,0.000623,1.000000
𐜮,0.093023,0.000018,0.000623,0.955645
𐜯,0.049419,0.000000,0.000538,1.000000
𐜰,0.049419,0.000243,0.001294,0.764706
𐜱,0.026163,0.000048,0.001051,0.861111
𐜲,0.020349,0.000000,0.000623,1.000000
𐜳,0.005814,0.000000,0.001045,1.000000
𐜴,0.005814,0.000000,0.000695,1.000000
𐜵,0.029070,0.000000,0.000695,1.000000
𐜶,0.052326,0.000111,0.001152,0.732026
𐝀,0.299419,0.002024,0.004006,0.723396
𐝁,0.404070,0.005904,0.005671,0.607340
𐝂,0.366279,0.004649,0.005035,0.620063
𐝃,0.491279,0.022865,0.009290,0.491476
𐝄,0.302326,0.001935,0.003164,0.729089
𐝅,0.313953,0.001907,0.003599,0.711319
𐝆,0.537791,0.018410,0.012134,0.463220
𐝇,0.383721,0.023779,0.008351,0.554707
𐝈,0.110465,0.004774,0.002074,0.776671
𐝡,0.008721,0.000000,0.000695,1.000000
𐝢,0.037791,0.000000,0.000723,1.000000
𐝥,0.023256,0.011425,0.000614,0.750000
𐝦,0.020349,0.000000,0.000616,1.000000
𐝫,0.883721,0.327711,0.050216,0.214065
𐝬,0.008721,0.000000,0.000455,1.000000
𐝭,0.005814,0.000000,0.000455,1.000000
𐝮,0.014535,0.000000,0.000719,1.000000
󽇫,0.040698,0.000000,0.000613,1.000000
