GORILA_ID,Findspot_Site,Findspot_Location,Material,Object_Type,Date,Num_Signs,Text_Type,Current_Location,Catalog_Number,Publication_Ref,Digital_Image_Available,Digital_Transcription_Available,Key_Notable_Features
HT 11,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 303","GORILA 1 pp.28-29","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 12,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 304","GORILA 1 pp.30-31","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 13,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 305","GORILA 1 pp.32-33","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Text with ligatured logograms"
HT 14,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 306","GORILA 1 pp.34-35","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 15,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 307","GORILA 1 pp.36-37","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 16,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,16,"Administrative","Heraklion Archaeological Museum","HM 308","GORILA 1 pp.38-39","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Multi-line text"
HT 17,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 309","GORILA 1 pp.40-41","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 18,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,12,"Administrative","Heraklion Archaeological Museum","HM 310","GORILA 1 pp.42-43","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 19,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,5,"Administrative","Heraklion Archaeological Museum","HM 311","GORILA 1 pp.44-45","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Fragmentary"
HT 20,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 312","GORILA 1 pp.46-47","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 21,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 313","GORILA 1 pp.48-49","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 22,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 314","GORILA 1 pp.50-51","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 23,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 315","GORILA 1 pp.52-53","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 24,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 316","GORILA 1 pp.54-55","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 25,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 317","GORILA 1 pp.56-57","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 26,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 318","GORILA 1 pp.58-59","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 27,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 319","GORILA 1 pp.60-61","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 28,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,15,"Administrative","Heraklion Archaeological Museum","HM 320","GORILA 1 pp.62-63","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 29,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 321","GORILA 1 pp.64-65","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 30,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,12,"Administrative","Heraklion Archaeological Museum","HM 322","GORILA 1 pp.66-67","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 31,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 323","GORILA 1 pp.68-69","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 32,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 324","GORILA 1 pp.70-71","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 33,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 325","GORILA 1 pp.72-73","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 34,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 326","GORILA 1 pp.74-75","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 35,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 327","GORILA 1 pp.76-77","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 36,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 328","GORILA 1 pp.78-79","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 37,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 329","GORILA 1 pp.80-81","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 38,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 330","GORILA 1 pp.82-83","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 39,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 331","GORILA 1 pp.84-85","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 40,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 332","GORILA 1 pp.86-87","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 41,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 333","GORILA 1 pp.88-89","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 42,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,15,"Administrative","Heraklion Archaeological Museum","HM 334","GORILA 1 pp.90-91","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Multi-entry account"
HT 43,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 335","GORILA 1 pp.92-93","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 44,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,12,"Administrative","Heraklion Archaeological Museum","HM 336","GORILA 1 pp.94-95","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 45,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 337","GORILA 1 pp.96-97","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 46,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 338","GORILA 1 pp.98-99","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 47,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 339","GORILA 1 pp.100-101","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 48,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 340","GORILA 1 pp.102-103","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 49,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 341","GORILA 1 pp.104-105","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 50,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 342","GORILA 1 pp.106-107","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 51,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 343","GORILA 1 pp.108-109","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 52,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 344","GORILA 1 pp.110-111","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 53,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 345","GORILA 1 pp.112-113","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 54,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 346","GORILA 1 pp.114-115","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 55,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 347","GORILA 1 pp.116-117","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 56,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 348","GORILA 1 pp.118-119","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 57,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 349","GORILA 1 pp.120-121","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 58,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 350","GORILA 1 pp.122-123","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 59,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,15,"Administrative","Heraklion Archaeological Museum","HM 351","GORILA 1 pp.124-125","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 60,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 352","GORILA 1 pp.126-127","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 61,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,12,"Administrative","Heraklion Archaeological Museum","HM 353","GORILA 1 pp.128-129","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 62,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 354","GORILA 1 pp.130-131","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 63,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 355","GORILA 1 pp.132-133","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 64,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 356","GORILA 1 pp.134-135","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 65,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 357","GORILA 1 pp.136-137","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 66,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 358","GORILA 1 pp.138-139","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 67,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 359","GORILA 1 pp.140-141","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 68,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 360","GORILA 1 pp.142-143","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 69,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 361","GORILA 1 pp.144-145","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 70,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 362","GORILA 1 pp.146-147","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 71,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 363","GORILA 1 pp.148-149","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 72,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 364","GORILA 1 pp.150-151","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 73,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 365","GORILA 1 pp.152-153","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 74,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 366","GORILA 1 pp.154-155","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 75,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 367","GORILA 1 pp.156-157","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 76,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 368","GORILA 1 pp.158-159","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 77,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 369","GORILA 1 pp.160-161","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 78,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 370","GORILA 1 pp.162-163","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 79,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 371","GORILA 1 pp.164-165","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 80,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 372","GORILA 1 pp.166-167","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 81,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 373","GORILA 1 pp.168-169","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 82,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 374","GORILA 1 pp.170-171","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 83,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 375","GORILA 1 pp.172-173","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 84,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 376","GORILA 1 pp.174-175","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 85,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 377","GORILA 1 pp.176-177","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 86,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 378","GORILA 1 pp.178-179","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 87,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 379","GORILA 1 pp.180-181","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 88,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 380","GORILA 1 pp.182-183","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 89,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 381","GORILA 1 pp.184-185","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 90,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 382","GORILA 1 pp.186-187","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 91,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 383","GORILA 1 pp.188-189","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 92,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 384","GORILA 1 pp.190-191","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 93,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 385","GORILA 1 pp.192-193","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 94,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 386","GORILA 1 pp.194-195","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 95,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 387","GORILA 1 pp.196-197","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 96,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 388","GORILA 1 pp.198-199","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 97,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 389","GORILA 1 pp.200-201","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 98,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 390","GORILA 1 pp.202-203","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 99,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 391","GORILA 1 pp.204-205","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 100,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 392","GORILA 1 pp.206-207","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 101,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 393","GORILA 1 pp.208-209","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 102,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 394","GORILA 1 pp.210-211","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 103,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 395","GORILA 1 pp.212-213","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 104,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 396","GORILA 1 pp.214-215","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 105,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 397","GORILA 1 pp.216-217","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 106,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 398","GORILA 1 pp.218-219","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 107,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 399","GORILA 1 pp.220-221","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 108,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 400","GORILA 1 pp.222-223","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 109,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 401","GORILA 1 pp.224-225","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 110,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 402","GORILA 1 pp.226-227","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 111,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 403","GORILA 1 pp.228-229","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 112,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 404","GORILA 1 pp.230-231","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 113,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 405","GORILA 1 pp.232-233","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 114,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 406","GORILA 1 pp.234-235","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 115,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 407","GORILA 1 pp.236-237","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 116,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 408","GORILA 1 pp.238-239","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 117,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 409","GORILA 1 pp.240-241","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
