bennett_id,conventional_value,refined_value,decision,confidence,resolved_by_bootstrapping
AB 44,ke,ke,CONFIRM,85.0,NO
AB 45,ri,ri,CONFIRM,45.0,YES
AB 46,?,?,CONFIRM,33.5,YES
AB 47,nu,nu,CONFIRM,35.5,YES
AB 48,?,?,CONFIRM,64.0,YES
AB 49,?,?,CONFIRM,62.0,YES
AB 50,pu,pu,CONFIRM,71.0,YES
AB 51,du,du,CONFIRM,53.0,YES
AB 52,?,?,CONFIRM,62.0,YES
AB 53,ri,ri,CONFIRM,58.7,NO
AB 54,wa,wa,CONFIRM,50.7,NO
AB 55,nu,nu,CONFIRM,78.1,NO
AB 56,?,?,CONFIRM,35.0,YES
AB 57,ja,ja,CONFIRM,47.0,NO
AB 58,?,?,CONFIRM,56.0,YES
AB 59,?,?,CONFIRM,25.0,YES
AB 60,ra,ra,UNCERTAIN,57.9,NO
AB 61,o,o,CONFIRM,85.0,NO
AB 62,?,?,CONFIRM,39.0,YES
AB 63,?,ke,CONFIRM,55.0,NO
AB 64,?,?,CONFIRM,41.0,YES
AB 65,ju,ju,CONFIRM,47.5,YES
AB 66,?,?,CONFIRM,29.5,YES
AB 67,ki,ki,CONFIRM,73.3,NO
AB 68,ro₂,ro,CONFIRM,41.0,YES
AB 69,tu,tu,CONFIRM,65.9,NO
AB 70,ko,ko,CONFIRM,85.0,NO
AB 71,?,ke,UNCERTAIN,25.0,NO
AB 72,?,?,CONFIRM,56.0,YES
AB 73,?,?,CONFIRM,25.0,YES
AB 74,?,ze,CONFIRM,55.0,NO
AB 75,?,?,UNCERTAIN,0.0,NO
AB 76,?,pi,CONFIRM,55.0,NO
AB 77,ka,ka,CONFIRM,77.6,NO
AB 78,qe,qe,UNCERTAIN,47.0,NO
AB 79,?,ze,UNCERTAIN,25.0,NO
AB 80,ma,ma,UNCERTAIN,34.1,NO
AB 81,ku,ku,CONFIRM,53.9,NO
AB 82,?,o,UNCERTAIN,25.0,NO
AB 83,?,la,CONFIRM,55.0,NO
AB 84,?,?,UNCERTAIN,0.0,NO
AB 85,?,?,CONFIRM,25.0,YES
AB 86,?,lo,UNCERTAIN,25.0,NO
AB 87,?,?,CONFIRM,25.0,YES
AB 88,?,lo,UNCERTAIN,25.0,NO
AB 89,?,mi,UNCERTAIN,25.0,NO
AB 90,?,lo,UNCERTAIN,25.0,NO
AB 91,?,lo,UNCERTAIN,25.0,NO
AB 92,?,?,CONFIRM,25.0,YES
AB 93,?,pi,UNCERTAIN,25.0,NO
AB 94,?,re,UNCERTAIN,25.0,NO
AB 95,?,te,UNCERTAIN,25.0,NO
AB 96,?,?,CONFIRM,25.0,YES
AB 97,?,o,UNCERTAIN,25.0,NO
AB 98,?,ke,UNCERTAIN,41.0,NO
AB 99,?,ma,UNCERTAIN,25.0,NO
AB 100,?,to,UNCERTAIN,25.0,NO
AB 101,?,?,UNCERTAIN,0.0,NO
AB 102,?,?,UNCERTAIN,0.0,NO
AB 103,?,?,UNCERTAIN,0.0,NO
AB 104,?,?,UNCERTAIN,0.0,NO
AB 105,?,?,UNCERTAIN,0.0,NO
AB 106,?,?,UNCERTAIN,0.0,NO
AB 107,?,?,UNCERTAIN,0.0,NO
AB 108,?,?,UNCERTAIN,0.0,NO
AB 109,?,?,UNCERTAIN,0.0,NO
AB 110,?,?,UNCERTAIN,0.0,NO
AB 111,?,?,UNCERTAIN,0.0,NO
AB 112,?,pa,CONFIRM,57.0,NO
AB 113,?,?,CONFIRM,0.0,YES
AB 114,?,?,UNCERTAIN,0.0,NO
AB 115,?,?,UNCERTAIN,0.0,NO
AB 116,?,?,UNCERTAIN,0.0,NO
AB 117,?,?,UNCERTAIN,0.0,NO
AB 118,?,?,UNCERTAIN,0.0,NO
AB 119,?,?,UNCERTAIN,0.0,NO
AB 120,?,?,UNCERTAIN,0.0,NO
AB 121,?,?,UNCERTAIN,0.0,NO
AB 122,?,?,UNCERTAIN,0.0,NO
AB 123,?,?,UNCERTAIN,0.0,NO
AB 124,?,?,UNCERTAIN,0.0,NO
AB 125,?,?,UNCERTAIN,0.0,NO
AB 126,?,?,UNCERTAIN,0.0,NO
AB 127,?,?,UNCERTAIN,0.0,NO
AB 128,?,?,UNCERTAIN,0.0,NO
AB 129,?,?,UNCERTAIN,0.0,NO
AB 130,?,?,UNCERTAIN,0.0,NO
AB 131,?,?,UNCERTAIN,0.0,NO
AB 132,?,?,UNCERTAIN,0.0,NO
AB 133,?,?,UNCERTAIN,0.0,NO
AB 134,?,?,UNCERTAIN,0.0,NO
AB 135,?,?,UNCERTAIN,0.0,NO
AB 136,?,?,UNCERTAIN,0.0,NO
AB 137,?,?,UNCERTAIN,0.0,NO
