la_bennett_id,la_unicode,la_character,la_transliteration,la_occurrences,lb_abbr,lb_meaning,lb_unicode,lb_character,lb_sign_name,co_occurring_logograms,correspondence_certainty,notes
A 356,U+106C1,𐛁,5,2,,,,,,,low,No known LB counterpart
A 357,U+106C2,𐛂,"
",1,,,,,,VASE 8(2); VASE 6(1); VASE 5(1); VASE 4(1); VASE 2(1),low,No known LB counterpart
A 358,U+106C3,𐛃,7,2,,,,,,VASE 3(7); VASE 7(2); VASE 6(2); VASE 4(1); A 568(1),low,No known LB counterpart
A 358,U+106C3,𐛃,KI,2,,,,,,VASE 3(7); VASE 7(2); VASE 6(2); VASE 4(1); A 568(1),low,No known LB counterpart
A 359,U+106C4,𐛄,[?],1,,,,,,,low,No known LB counterpart
A 360,U+106C5,𐛅,"
",1,,,,,,VASE 8(2); VASE 6(1); VASE 5(1); VASE 4(1); VASE 2(1),low,No known LB counterpart
A 361,U+106C6,𐛆,MI+JA+KA,2,,,,,,VASE 4(3); VASE 8(2); VASE 10(2); A 383(2); A 348(2),low,No known LB counterpart
A 361,U+106C6,𐛆,[?],2,,,,,,VASE 4(3); VASE 8(2); VASE 10(2); A 383(2); A 348(2),low,No known LB counterpart
A 362,U+106C7,𐛇,"
",1,,,,,,A 389(1),low,No known LB counterpart
A 363,U+106C8,𐛈,*528,1,,,,,,,low,No known LB counterpart
A 364,U+106C9,𐛉,𐄁,5,,,,,,A 568(2); A 375(1),low,No known LB counterpart
A 364,U+106C9,𐛉,SI+SE,5,,,,,,A 568(2); A 375(1),low,No known LB counterpart
A 364,U+106C9,𐛉,GRA,5,,,,,,A 568(2); A 375(1),low,No known LB counterpart
A 365,U+106CA,𐛊,SA,1,,,,,,VASE 6(5); VASE 8(2); VASE 2(1); A 381(1); A 349(1),low,No known LB counterpart
A 366,U+106CB,𐛋,KI,1,,,,,,A 568(2); A 373(1),low,No known LB counterpart
A 367,U+106CC,𐛌,[?],1,,,,,,VASE 4(3); VASE 8(1); VASE 7(1); VASE 2(1); VASE 10(1),low,No known LB counterpart
A 368,U+106CD,𐛍,[?],1,,,,,,A 391(1),low,No known LB counterpart
A 369,U+106CE,𐛎,"
",1,,,,,,A 385(1); A 370(1); A 326(1),low,No known LB counterpart
A 370,U+106CF,𐛏,"
",1,,,,,,A 385(1); A 369(1); A 326(1),low,No known LB counterpart
A 371,U+106D0,𐛐,[?],1,,,,,,VASE 4(2); VASE 10(2); VASE 3(1); VASE 12(1); A 509(1),low,No known LB counterpart
A 372,U+106D1,𐛑,"
",1,,,,,,A 568(2); VASE 7(1); A 566(1),low,No known LB counterpart
A 373,U+106D2,𐛒,*539,1,,,,,,A 568(2); A 366(1),low,No known LB counterpart
A 374,U+106D3,𐛓,𐝫,1,,,,,,VASE 11(2),low,No known LB counterpart
A 375,U+106D4,𐛔,RA+KA,1,,,,,,A 568(1); A 364(1),low,No known LB counterpart
A 376,U+106D5,𐛕,22,1,,,,,,VASE 4(1); A 568(1); A 396(1),low,No known LB counterpart
A 377,U+106D6,𐛖,12,3,,,,,,A 398(2),low,No known LB counterpart
A 377,U+106D6,𐛖,14,3,,,,,,A 398(2),low,No known LB counterpart
A 377,U+106D6,𐛖,[?],3,,,,,,A 398(2),low,No known LB counterpart
A 378,U+106D7,𐛗,"
",1,,,,,,,low,No known LB counterpart
A 379,U+106D8,𐛘,³⁄₄,1,,,,,,VASE 4(2); A 568(1),low,No known LB counterpart
A 380,U+106D9,𐛙,],1,,,,,,VASE 8(3); VASE 4(1); VASE 10(1); A 350(1); A 348(1),low,No known LB counterpart
A 381,U+106DA,𐛚,OLE+RI,8,OLE+RI,olive oil (RI variety?),,,OLE+RI,VASE 2(8); VASE 8(6); VASE 6(6); VASE 7(4); VASE 3(4),high,Oil ligatured with RI. LA-only ligature.
A 381,U+106DA,𐛚,"
",8,OLE+RI,olive oil (RI variety?),,,OLE+RI,VASE 2(8); VASE 8(6); VASE 6(6); VASE 7(4); VASE 3(4),high,Oil ligatured with RI. LA-only ligature.
A 381,U+106DA,𐛚,1,8,OLE+RI,olive oil (RI variety?),,,OLE+RI,VASE 2(8); VASE 8(6); VASE 6(6); VASE 7(4); VASE 3(4),high,Oil ligatured with RI. LA-only ligature.
A 381,U+106DA,𐛚,MI+JA+RU,8,OLE+RI,olive oil (RI variety?),,,OLE+RI,VASE 2(8); VASE 8(6); VASE 6(6); VASE 7(4); VASE 3(4),high,Oil ligatured with RI. LA-only ligature.
A 381,U+106DA,𐛚,4,8,OLE+RI,olive oil (RI variety?),,,OLE+RI,VASE 2(8); VASE 8(6); VASE 6(6); VASE 7(4); VASE 3(4),high,Oil ligatured with RI. LA-only ligature.
A 381,U+106DA,𐛚,𐝫,8,OLE+RI,olive oil (RI variety?),,,OLE+RI,VASE 2(8); VASE 8(6); VASE 6(6); VASE 7(4); VASE 3(4),high,Oil ligatured with RI. LA-only ligature.
A 382,U+106DB,𐛛,SA+MU+KU,3,,,,,,VASE 8(2); VASE 6(1); VASE 5(1); VASE 4(1); VASE 2(1),low,No known LB counterpart
A 382,U+106DB,𐛛,MI+JA+I,3,,,,,,VASE 8(2); VASE 6(1); VASE 5(1); VASE 4(1); VASE 2(1),low,No known LB counterpart
A 382,U+106DB,𐛛,1000,3,,,,,,VASE 8(2); VASE 6(1); VASE 5(1); VASE 4(1); VASE 2(1),low,No known LB counterpart
A 383,U+106DC,𐛜,90,2,,,,,,VASE 4(3); VASE 8(2); VASE 10(2); A 361(2); A 348(2),low,No known LB counterpart
A 383,U+106DC,𐛜,MI+JA+KA,2,,,,,,VASE 4(3); VASE 8(2); VASE 10(2); A 361(2); A 348(2),low,No known LB counterpart
A 384,U+106DD,𐛝,MI+*301,2,,,,,,,low,No known LB counterpart
A 385,U+106DE,𐛞,"
",1,,,,,,A 370(1); A 369(1); A 326(1),low,No known LB counterpart
A 386,U+106DF,𐛟,GRA+PA,1,,,,,,VASE 7(2); A 400(2); VASE 9(1); VASE 4(1); VASE 10(1),low,No known LB counterpart
A 387,U+106E0,𐛠,1,1,,,,,,A 566(3); A 390(1); A 389(1); A 388(1),low,No known LB counterpart
A 388,U+106E1,𐛡,"
",1,,,,,,A 566(3); A 390(1); A 389(1); A 387(1),low,No known LB counterpart
A 389,U+106E2,𐛢,*560,4,,,,,,A 566(3); VASE 8(1); VASE 7(1); A 390(1); A 388(1),low,No known LB counterpart
A 389,U+106E2,𐛢,[?],4,,,,,,A 566(3); VASE 8(1); VASE 7(1); A 390(1); A 388(1),low,No known LB counterpart
A 389,U+106E2,𐛢,RE,4,,,,,,A 566(3); VASE 8(1); VASE 7(1); A 390(1); A 388(1),low,No known LB counterpart
A 389,U+106E2,𐛢,PA,4,,,,,,A 566(3); VASE 8(1); VASE 7(1); A 390(1); A 388(1),low,No known LB counterpart
A 390,U+106E3,𐛣,"
",1,,,,,,A 566(3); A 389(1); A 388(1); A 387(1),low,No known LB counterpart
A 391,U+106E4,𐛤,𐝫,1,,,,,,A 368(1),low,No known LB counterpart
A 392,U+106E5,𐛥,¹⁄₂,3,,,,,,VASE 7(3); VASE 5(2); VASE 4(1),low,No known LB counterpart
A 392,U+106E5,𐛥,*86+'*188',3,,,,,,VASE 7(3); VASE 5(2); VASE 4(1),low,No known LB counterpart
A 392,U+106E5,𐛥,[?],3,,,,,,VASE 7(3); VASE 5(2); VASE 4(1),low,No known LB counterpart
A 393,U+106E6,𐛦,*86+*188,8,,,,,,,low,No known LB counterpart
A 394,U+106E7,𐛧,VIR+KA,10,VIR,man / person,U+100FC?,𐀒,VIR,VASE 7(2); VASE 3(2); VASE 6(1); VASE 4(1); VASE 10(1),high,"Man/person ideogram. LA A 394 = VIR+KA, A 395 = VIR+*307."
A 394,U+106E7,𐛧,58,10,VIR,man / person,U+100FC?,𐀒,VIR,VASE 7(2); VASE 3(2); VASE 6(1); VASE 4(1); VASE 10(1),high,"Man/person ideogram. LA A 394 = VIR+KA, A 395 = VIR+*307."
A 395,U+106E8,𐛨,VIR+*307,3,,,,,,VASE 4(5); VASE 8(2); VASE 2(2); VASE 7(1); VASE 10(1),low,No known LB counterpart
A 395,U+106E8,𐛨,𐝫,3,,,,,,VASE 4(5); VASE 8(2); VASE 2(2); VASE 7(1); VASE 10(1),low,No known LB counterpart
A 395,U+106E8,𐛨,13,3,,,,,,VASE 4(5); VASE 8(2); VASE 2(2); VASE 7(1); VASE 10(1),low,No known LB counterpart
A 396,U+106E9,𐛩,TA,2,,,,,,VASE 4(2); VASE 3(2); A 568(2); VASE 7(1); VASE 6(1),low,No known LB counterpart
A 396,U+106E9,𐛩,RO,2,,,,,,VASE 4(2); VASE 3(2); A 568(2); VASE 7(1); VASE 6(1),low,No known LB counterpart
A 397,U+106EA,𐛪,18,4,,,,,,VASE 2(6); VASE 3(5); VASE 7(4); VASE 8(3); VASE 13(3),low,No known LB counterpart
A 397,U+106EA,𐛪,"
",4,,,,,,VASE 2(6); VASE 3(5); VASE 7(4); VASE 8(3); VASE 13(3),low,No known LB counterpart
A 397,U+106EA,𐛪,𐝫𐝁𐝌,4,,,,,,VASE 2(6); VASE 3(5); VASE 7(4); VASE 8(3); VASE 13(3),low,No known LB counterpart
A 398,U+106EB,𐛫,*301,1,,,,,,A 377(2),low,No known LB counterpart
A 399,U+106EC,𐛬,GRA+DA,1,,,,,,,low,No known LB counterpart
A 400,U+106ED,𐛭,GRA+PA,22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,"
",22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,I,22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,NA,22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,62,22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,KI,22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,PA,22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,6,22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,[?],22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,26,22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,*304,22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,2,22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 400,U+106ED,𐛭,1,22,GRA+PA,wheat measured by the pa unit,,,GRA+PA,VASE 7(17); VASE 3(7); VASE 4(5); A 355(4); VASE 1(3),high,Wheat ligatured with PA (a dry measure unit sign). Common in LA.
A 401,U+106EE,𐛮,¹⁄₁₆,1,,,,,,VASE 8(1); VASE 4(1),low,No known LB counterpart
A 402,U+106EF,𐛯,GRA+BOSm,1,BOSm,bull / male bovid,U+100D7,𐃗,*104bis / BOSm,VASE 3(5); VASE 7(1),high,Male cattle. LA A 402 = GRA+BOSm in transliteration.
A 500,U+1071D,𐜝,"
",9,,,,,,VASE 7(3); VASE 4(2); VASE 3(2); VASE 8(1); VASE 6(1),low,No known LB counterpart
A 500,U+1071D,𐜝,KU,9,,,,,,VASE 7(3); VASE 4(2); VASE 3(2); VASE 8(1); VASE 6(1),low,No known LB counterpart
A 500,U+1071D,𐜝,*304+PA,9,,,,,,VASE 7(3); VASE 4(2); VASE 3(2); VASE 8(1); VASE 6(1),low,No known LB counterpart
A 500,U+1071D,𐜝,¹⁄₁₆,9,,,,,,VASE 7(3); VASE 4(2); VASE 3(2); VASE 8(1); VASE 6(1),low,No known LB counterpart
A 501,U+1071E,𐜞,"
",1,,,,,,VASE 7(3),low,No known LB counterpart
A 502,U+1071F,𐜟,"
",1,,,,,,,low,No known LB counterpart
A 503,U+10720,𐜠,*307+*387,3,,,,,,VASE 7(2); A 394(1),low,No known LB counterpart
A 504,U+10721,𐜡,*316+KI,2,,,,,,A 342(2),low,No known LB counterpart
A 505,U+10722,𐜢,],1,,,,,,,low,No known LB counterpart
A 506,U+10723,𐜣,113,1,,,,,,,low,No known LB counterpart
A 507,U+10724,𐜤,*330+SA,1,,,,,,VASE 8(1),low,No known LB counterpart
A 508,U+10725,𐜥,*337+*188,2,,,,,,,low,No known LB counterpart
A 509,U+10726,𐜦,100,1,,,,,,VASE 4(2); VASE 10(2); VASE 3(1); VASE 12(1); A 383(1),low,No known LB counterpart
A 510,U+10727,𐜧,"
",1,,,,,,VASE 7(2); A 568(1),low,No known LB counterpart
A 560,U+1074D,𐝍,[?],6,,,,,,VASE 3(5); VASE 2(5); VASE 7(4); A 381(3); VASE 8(2),low,No known LB counterpart
A 560,U+1074D,𐝍,"
",6,,,,,,VASE 3(5); VASE 2(5); VASE 7(4); A 381(3); VASE 8(2),low,No known LB counterpart
A 560,U+1074D,𐝍,CYP,6,,,,,,VASE 3(5); VASE 2(5); VASE 7(4); A 381(3); VASE 8(2),low,No known LB counterpart
A 560,U+1074D,𐝍,𐝫,6,,,,,,VASE 3(5); VASE 2(5); VASE 7(4); A 381(3); VASE 8(2),low,No known LB counterpart
A 561,U+1074E,𐝎,.3,4,,,,,,VASE 1(10); VASE 4(7); A 568(6); VASE 7(5); VASE 6(2),low,No known LB counterpart
A 561,U+1074E,𐝎,"
",4,,,,,,VASE 1(10); VASE 4(7); A 568(6); VASE 7(5); VASE 6(2),low,No known LB counterpart
A 561,U+1074E,𐝎,SA,4,,,,,,VASE 1(10); VASE 4(7); A 568(6); VASE 7(5); VASE 6(2),low,No known LB counterpart
A 561,U+1074E,𐝎,[?],4,,,,,,VASE 1(10); VASE 4(7); A 568(6); VASE 7(5); VASE 6(2),low,No known LB counterpart
A 562,U+1074F,𐝏,≈,4,,,,,,VASE 4(3); A 304(1),low,No known LB counterpart
A 562,U+1074F,𐝏,[?],4,,,,,,VASE 4(3); A 304(1),low,No known LB counterpart
A 566,U+10753,𐝓,MA,6,,,,,,VASE 7(9); VASE 3(8); A 390(3); A 389(3); A 388(3),low,No known LB counterpart
A 566,U+10753,𐝓,¹⁄₅,6,,,,,,VASE 7(9); VASE 3(8); A 390(3); A 389(3); A 388(3),low,No known LB counterpart
A 566,U+10753,𐝓,¹⁄₂,6,,,,,,VASE 7(9); VASE 3(8); A 390(3); A 389(3); A 388(3),low,No known LB counterpart
A 566,U+10753,𐝓,*560,6,,,,,,VASE 7(9); VASE 3(8); A 390(3); A 389(3); A 388(3),low,No known LB counterpart
A 566,U+10753,𐝓,RA,6,,,,,,VASE 7(9); VASE 3(8); A 390(3); A 389(3); A 388(3),low,No known LB counterpart
A 566,U+10753,𐝓,"
",6,,,,,,VASE 7(9); VASE 3(8); A 390(3); A 389(3); A 388(3),low,No known LB counterpart
A 568,U+10755,𐝕,DA,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,15,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,³⁄₄,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,[?],32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,7,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,1,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,"
",32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,20,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,RE,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,KE,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,RU,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,KI,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,OLIV,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,93,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
